,Unnamed: 0,Unnamed: 0.1,Unsegmented_hashtag,Segmented_hashtag,Unsegmented_hashtag_lowerCase,Segmented_hashtag_lowerCase,segments_count
175335,175758,175758,GurjeetAujla,Gurjeet Aujla,gurjeetaujla,gurjeet aujla,2
96955,97216,97216,IndiansAreFools,Indians Are Fools,indiansarefools,indians are fools,3
243996,244582,244582,LowerCosts,Lower Costs,lowercosts,lower costs,2
78688,78905,78905,FoxFriends,Fox Friends,foxfriends,fox friends,2
264823,265449,265449,AlbertaBuilt,Alberta Built,albertabuilt,alberta built,2
138775,139128,139128,ShivatmikaRajasekhar,Shivatmika Rajasekhar,shivatmikarajasekhar,shivatmika rajasekhar,2
147023,147387,147387,RefreshingDrink,Refreshing Drink,refreshingdrink,refreshing drink,2
281102,281769,281769,AasthaGill,Aastha Gill,aasthagill,aastha gill,2
103884,104160,104160,3For3,3 For 3,3for3,3 for 3,3
87119,87357,87357,BJPMLAKuldeepSinghSengar,BJPMLA Kuldeep Singh Sengar,bjpmlakuldeepsinghsengar,bjpmla kuldeep singh sengar,4
292790,293484,293484,EarthDayWeek,Earth Day Week,earthdayweek,earth day week,3
236824,237391,237391,nelsonMandela,nelson Mandela,nelsonmandela,nelson mandela,2
299277,299986,299986,DalerMehndiGreenDrive,Daler Mehndi Green Drive,dalermehndigreendrive,daler mehndi green drive,4
157060,157448,157448,TimeNahiBatayenge,Time Nahi Batayenge,timenahibatayenge,time nahi batayenge,3
53027,53179,53179,PMswearing,P Mswearing,pmswearing,p mswearing,2
294844,295544,295544,Rs5CroresDebt,Rs 5 Crores Debt,rs5croresdebt,rs 5 crores debt,4
235639,236201,236201,ChirmiPlant,Chirmi Plant,chirmiplant,chirmi plant,2
25676,25755,25755,RealityDistorsionField,Reality Distorsion Field,realitydistorsionfield,reality distorsion field,3
326996,327763,327763,#VaccinateIndia,Vaccinate India,#vaccinateindia,vaccinate india,2
114948,115242,115242,Krishnakumar4Palaghat,Krishnakumar 4 Palaghat,krishnakumar4palaghat,krishnakumar 4 palaghat,3
305415,306141,306141,PakistaniFlagsAtWayanad,Pakistani Flags At Wayanad,pakistaniflagsatwayanad,pakistani flags at wayanad,4
170667,171083,171083,killIndia,kill India,killindia,kill india,2
113381,113672,113672,RajLiesInSatara,Raj Lies In Satara,rajliesinsatara,raj lies in satara,4
326778,327545,327545,#KollywoodRulerSURIYA,Kollywood Ruler SURIYA,#kollywoodrulersuriya,kollywood ruler suriya,3
111719,112007,112007,priyuChaturvedi,priyu Chaturvedi,priyuchaturvedi,priyu chaturvedi,2
242170,242750,242750,EvmFraudSarkar,Evm Fraud Sarkar,evmfraudsarkar,evm fraud sarkar,3
35347,35444,35444,Vote4Ganeshamurthi,Vote 4 Ganeshamurthi,vote4ganeshamurthi,vote 4 ganeshamurthi,3
311578,312319,312319,NewBeggings,New Beggings,newbeggings,new beggings,2
6785,6811,6811,HealthCareFORall,Health Care FO Rall,healthcareforall,health care fo rall,4
264619,265245,265245,ChowkidarDeafToo,Chowkidar Deaf Too,chowkidardeaftoo,chowkidar deaf too,3
160297,160689,160689,RightToHealthcare,Right To Healthcare,righttohealthcare,right to healthcare,3
139944,140299,140299,PhumzileVanDamme,Phumzile Van Damme,phumzilevandamme,phumzile van damme,3
302075,302792,302792,BhamaShah,Bhama Shah,bhamashah,bhama shah,2
147651,148016,148016,TelanganaBalidanalu,Telangana Balidanalu,telanganabalidanalu,telangana balidanalu,2
80745,80964,80964,OppostionVsIndia,Oppostion Vs India,oppostionvsindia,oppostion vs india,3
43652,43772,43772,SirSyedAhmadKhan,Sir Syed Ahmad Khan,sirsyedahmadkhan,sir syed ahmad khan,4
332130,332897,332897,#MOASelcaDay,MOA Selca Day,#moaselcaday,moa selca day,3
295230,295931,295931,AmethiHaiSmritiKSath,Amethi Hai Smriti K Sath,amethihaismritiksath,amethi hai smriti k sath,5
280657,281324,281324,Vote4Science,Vote 4 Science,vote4science,vote 4 science,3
47630,47764,47764,StudentDeaths,Student Deaths,studentdeaths,student deaths,2
209937,210443,210443,KathuaUdhampurDoda,Kathua Udhampur Doda,kathuaudhampurdoda,kathua udhampur doda,3
290158,290845,290845,AndrewYang2020,Andrew Yang 2020,andrewyang2020,andrew yang 2020,3
306978,307707,307707,EuVote2019,Eu Vote 2019,euvote2019,eu vote 2019,3
191694,192154,192154,LoveYouBihar,Love You Bihar,loveyoubihar,love you bihar,3
136140,136489,136489,TrikesAtPollingStations,Trikes At Polling Stations,trikesatpollingstations,trikes at polling stations,4
150239,150609,150609,GreatetNoida,Greatet Noida,greatetnoida,greatet noida,2
241170,241747,241747,MKRaghavan,MK Raghavan,mkraghavan,mk raghavan,2
279267,279933,279933,IPLlive,IP Llive,ipllive,ip llive,2
317705,318460,318460,CloudCover,Cloud Cover,cloudcover,cloud cover,2
33261,33357,33357,CallSarzameen,Call Sarzameen,callsarzameen,call sarzameen,2
225638,226186,226186,CGTNFirstVoice,CGTN First Voice,cgtnfirstvoice,cgtn first voice,3
199956,200438,200438,ArishAnwar,Arish Anwar,arishanwar,arish anwar,2
173441,173861,173861,RtcXroads,Rtc Xroads,rtcxroads,rtc xroads,2
313822,314568,314568,EbbsfleetInternational,Ebbsfleet International,ebbsfleetinternational,ebbsfleet international,2
37411,37515,37515,CMGoa,CM Goa,cmgoa,cm goa,2
251826,252431,252431,BJPNDASweep,BJPNDA Sweep,bjpndasweep,bjpnda sweep,2
30794,30884,30884,FlipkarQuizAnswers,Flipkar Quiz Answers,flipkarquizanswers,flipkar quiz answers,3
149427,149796,149796,results2O18,results 2 O 18,results2o18,results 2 o 18,4
116377,116674,116674,IndiaClick,India Click,indiaclick,india click,2
287323,288004,288004,TruthWillTriumph,Truth Will Triumph,truthwilltriumph,truth will triumph,3
164676,165079,165079,DilliDillwalonKiCongressKeSaath,Dilli Dillwalon Ki Congress Ke Saath,dillidillwalonkicongresskesaath,dilli dillwalon ki congress ke saath,6
299179,299888,299888,DalitYouth,Dalit Youth,dalityouth,dalit youth,2
315796,316547,316547,HamzaAhmedalAlwi,Hamza Ahmedal Alwi,hamzaahmedalalwi,hamza ahmedal alwi,3
109765,110048,110048,andhrapradeshCM,andhrapradesh CM,andhrapradeshcm,andhrapradesh cm,2
161992,162391,162391,ReligionOfTerrprIsMuslim,Religion Of Terrpr Is Muslim,religionofterrprismuslim,religion of terrpr is muslim,5
179701,180131,180131,PollStream,Poll Stream,pollstream,poll stream,2
66949,67132,67132,MasoorAjhar,Masoor Ajhar,masoorajhar,masoor ajhar,2
113319,113610,113610,2611MumbaiAttacks,2611 Mumbai Attacks,2611mumbaiattacks,2611 mumbai attacks,3
146644,147007,147007,HangTahir,Hang Tahir,hangtahir,hang tahir,2
190195,190651,190651,UPAMassLoots,UPA Mass Loots,upamassloots,upa mass loots,3
312218,312960,312960,SidhuWalksTheTalk,Sidhu Walks The Talk,sidhuwalksthetalk,sidhu walks the talk,4
212,212,212,TNforModi,T Nfor Modi,tnformodi,t nfor modi,3
306415,307143,307143,freeService,free Service,freeservice,free service,2
133162,133503,133503,NehruGandhiParivarmeSaleSabhiChorHain,Nehru Gandhi Parivarme Sale Sabhi Chor Hain,nehrugandhiparivarmesalesabhichorhain,nehru gandhi parivarme sale sabhi chor hain,7
153968,154352,154352,WitchHuntPartDeux,Witch Hunt Part Deux,witchhuntpartdeux,witch hunt part deux,4
299474,300184,300184,PhatJoeAndTheFamily,Phat Joe And The Family,phatjoeandthefamily,phat joe and the family,5
228700,229253,229253,MonstaX,Monsta X,monstax,monsta x,2
68844,69032,69032,ChunavNahiDharmyuddh,Chunav Nahi Dharmyuddh,chunavnahidharmyuddh,chunav nahi dharmyuddh,3
299037,299746,299746,doitforBob,doitfor Bob,doitforbob,doitfor bob,2
316477,317228,317228,boforsScandal,bofors Scandal,boforsscandal,bofors scandal,2
247788,248384,248384,TelanganaAssemblyElection2018,Telangana Assembly Election 2018,telanganaassemblyelection2018,telangana assembly election 2018,4
159942,160334,160334,BudgeET2019,Budge ET 2019,budgeet2019,budge et 2019,3
262396,263020,263020,NaXal,Na Xal,naxal,na xal,2
278590,279253,279253,selectiveJournalism,selective Journalism,selectivejournalism,selective journalism,2
192134,192595,192595,RealGandhiVsCongress,Real Gandhi Vs Congress,realgandhivscongress,real gandhi vs congress,4
191618,192078,192078,AnthonyMackie,Anthony Mackie,anthonymackie,anthony mackie,2
30138,30225,30225,BSNLlandline,BSN Llandline,bsnllandline,bsn llandline,2
323999,324765,324765,ExperiencedVoters,Experienced Voters,experiencedvoters,experienced voters,2
138150,138502,138502,EdainaJaragocchuTeaser,Edaina Jaragocchu Teaser,edainajaragocchuteaser,edaina jaragocchu teaser,3
178277,178703,178703,GandhiMovesON,Gandhi Moves ON,gandhimoveson,gandhi moves on,3
191794,192254,192254,ArtistUnite,Artist Unite,artistunite,artist unite,2
278109,278769,278769,PMModiJodhpurRally,PM Modi Jodhpur Rally,pmmodijodhpurrally,pm modi jodhpur rally,4
125425,125747,125747,NotMyGhar,Not My Ghar,notmyghar,not my ghar,3
300842,301556,301556,technicalFun,technical Fun,technicalfun,technical fun,2
228313,228866,228866,MinimumIncomeGuarntee,Minimum Income Guarntee,minimumincomeguarntee,minimum income guarntee,3
38891,39002,39002,ChowkidarManoharLal,Chowkidar Manohar Lal,chowkidarmanoharlal,chowkidar manohar lal,3
94196,94449,94449,ChowkidarCureNahiWohHeSamasyahHai,Chowkidar Cure Nahi Woh He Samasyah Hai,chowkidarcurenahiwohhesamasyahhai,chowkidar cure nahi woh he samasyah hai,7
164128,164530,164530,ApnaAmbedkarnagarUP,Apna Ambedkarnagar UP,apnaambedkarnagarup,apna ambedkarnagar up,3
18005,18059,18059,EmiratePrincess,Emirate Princess,emirateprincess,emirate princess,2
212899,213416,213416,ChineseTerrorist,Chinese Terrorist,chineseterrorist,chinese terrorist,2
291493,292183,292183,SISDBond2019,SISD Bond 2019,sisdbond2019,sisd bond 2019,3
232664,233220,233220,DontVoteToTDP,Dont Vote To TDP,dontvotetotdp,dont vote to tdp,4
98156,98420,98420,ThakoreSena,Thakore Sena,thakoresena,thakore sena,2
134189,134533,134533,NaKhaungaNaKhaneyDunga,Na Khaunga Na Khaney Dunga,nakhaunganakhaneydunga,na khaunga na khaney dunga,5
255578,256191,256191,IAPoli,IA Poli,iapoli,ia poli,2
191093,191551,191551,OurVoteOurResponsibility,Our Vote Our Responsibility,ourvoteourresponsibility,our vote our responsibility,4
103709,103984,103984,VoteForJDU,Vote For JDU,voteforjdu,vote for jdu,3
215268,215789,215789,ModiBetraysTN,Modi Betrays TN,modibetraystn,modi betrays tn,3
35655,35752,35752,NoGolput,No Golput,nogolput,no golput,2
149768,150137,150137,EsCasaDeFans,Es Casa De Fans,escasadefans,es casa de fans,4
79496,79714,79714,PrideOfYCP,Pride Of YCP,prideofycp,pride of ycp,3
329617,330384,330384,#Nizhal,Nizhal,#nizhal,nizhal,1
43234,43354,43354,NGKDay,NGK Day,ngkday,ngk day,2
202338,202826,202826,KolMikaelson2020,Kol Mikaelson 2020,kolmikaelson2020,kol mikaelson 2020,3
187848,188300,188300,Labour4Gunthorpe,Labour 4 Gunthorpe,labour4gunthorpe,labour 4 gunthorpe,3
223228,223766,223766,MaduraiElectionDay,Madurai Election Day,maduraielectionday,madurai election day,3
228787,229340,229340,SkipSelfCheckOut,Skip Self Check Out,skipselfcheckout,skip self check out,4
291626,292316,292316,BanFracking,Ban Fracking,banfracking,ban fracking,2
172832,173250,173250,nochEineWoche,noch Eine Woche,nocheinewoche,noch eine woche,3
242660,243241,243241,boycottSiddhu,boycott Siddhu,boycottsiddhu,boycott siddhu,2
25912,25991,25991,theVP,the VP,thevp,the vp,2
223731,224272,224272,Batting4BB,Batting 4 BB,batting4bb,batting 4 bb,3
295941,296643,296643,BiodiversityRevisited,Biodiversity Revisited,biodiversityrevisited,biodiversity revisited,2
69731,69922,69922,CityCouncilDistrict6,City Council District 6,citycouncildistrict6,city council district 6,4
35862,35959,35959,CaraBuono,Cara Buono,carabuono,cara buono,2
80701,80920,80920,MaharajJyotiradityascindiaJindavaad,Maharaj Jyotiradityascindia Jindavaad,maharajjyotiradityascindiajindavaad,maharaj jyotiradityascindia jindavaad,3
13989,14032,14032,RosePetals,Rose Petals,rosepetals,rose petals,2
121092,121405,121405,GodsePutNationFirst,Godse Put Nation First,godseputnationfirst,godse put nation first,4
11627,11661,11661,againModi,again Modi,againmodi,again modi,2
138547,138900,138900,OscarFarnandis,Oscar Farnandis,oscarfarnandis,oscar farnandis,2
274853,275504,275504,rOBERTvADRA,r OBER Tv ADRA,robertvadra,r ober tv adra,4
67256,67440,67440,TNVotesModi,TN Votes Modi,tnvotesmodi,tn votes modi,3
36739,36840,36840,AgustaChargesheet,Agusta Chargesheet,agustachargesheet,agusta chargesheet,2
188602,189055,189055,RapeAccused,Rape Accused,rapeaccused,rape accused,2
38165,38271,38271,7seatsforBJP,7 seatsfor BJP,7seatsforbjp,7 seatsfor bjp,3
161041,161437,161437,JattJugaadiHundayNay,Jatt Jugaadi Hunday Nay,jattjugaadihundaynay,jatt jugaadi hunday nay,4
230512,231066,231066,ShoesThrown,Shoes Thrown,shoesthrown,shoes thrown,2
110711,110996,110996,ExitPollBihar,Exit Poll Bihar,exitpollbihar,exit poll bihar,3
96047,96304,96304,NyakundiStrong,Nyakundi Strong,nyakundistrong,nyakundi strong,2
145580,145941,145941,NoteTheDate,Note The Date,notethedate,note the date,3
38031,38137,38137,OldAgeChallenge,Old Age Challenge,oldagechallenge,old age challenge,3
154521,154905,154905,FormerMP,Former MP,formermp,former mp,2
287866,288549,288549,JhalawarBaranelections2019voterlist,Jhalawar Baranelections 2019 voterlist,jhalawarbaranelections2019voterlist,jhalawar baranelections 2019 voterlist,4
269884,270523,270523,IslamProtectsWomenRights,Islam Protects Women Rights,islamprotectswomenrights,islam protects women rights,4
160652,161046,161046,BhadweDalle,Bhadwe Dalle,bhadwedalle,bhadwe dalle,2
110164,110449,110449,FreeBusMetro,Free Bus Metro,freebusmetro,free bus metro,3
192936,193398,193398,AdolfBaneejee,Adolf Baneejee,adolfbaneejee,adolf baneejee,2
304453,305178,305178,HaryanavoteKar,Haryanavote Kar,haryanavotekar,haryanavote kar,2
254024,254635,254635,babuKishan,babu Kishan,babukishan,babu kishan,2
265203,265830,265830,ScotRef,Scot Ref,scotref,scot ref,2
39623,39735,39735,HindustanKhatreMeinHai,Hindustan Khatre Mein Hai,hindustankhatremeinhai,hindustan khatre mein hai,4
236230,236794,236794,Ohio6thDistrict,Ohio 6 th District,ohio6thdistrict,ohio 6 th district,4
222620,223158,223158,BhagvatGita,Bhagvat Gita,bhagvatgita,bhagvat gita,2
73871,74076,74076,TruthvsHype,Truthvs Hype,truthvshype,truthvs hype,2
204662,205154,205154,ReadyToJoins,Ready To Joins,readytojoins,ready to joins,3
132629,132968,132968,CamScan,Cam Scan,camscan,cam scan,2
175102,175525,175525,DonnyPangilinan,Donny Pangilinan,donnypangilinan,donny pangilinan,2
10489,10520,10520,AdivasiRights,Adivasi Rights,adivasirights,adivasi rights,2
323193,323958,323958,TaxCodes,Tax Codes,taxcodes,tax codes,2
72380,72579,72579,weallwantwhatsbestforSA,weallwantwhatsbestfor SA,weallwantwhatsbestforsa,weallwantwhatsbestfor sa,2
169733,170147,170147,KingModi,King Modi,kingmodi,king modi,2
262863,263487,263487,GangStalking,Gang Stalking,gangstalking,gang stalking,2
287775,288458,288458,newData,new Data,newdata,new data,2
48767,48905,48905,LordShriRam,Lord Shri Ram,lordshriram,lord shri ram,3
109646,109929,109929,MonaIrani,Mona Irani,monairani,mona irani,2
103604,103878,103878,ReturnToTally,Return To Tally,returntotally,return to tally,3
73117,73320,73320,EastWestMetro,East West Metro,eastwestmetro,east west metro,3
161705,162103,162103,SelectOutrages,Select Outrages,selectoutrages,select outrages,2
151225,151601,151601,GangaDusshara,Ganga Dusshara,gangadusshara,ganga dusshara,2
231840,232396,232396,GOTS8E5preview,GOTS 8 E 5 preview,gots8e5preview,gots 8 e 5 preview,5
213004,213521,213521,TheDyanasty,The Dyanasty,thedyanasty,the dyanasty,2
326500,327267,327267,#AskJehan,Ask Jehan,#askjehan,ask jehan,2
102718,102992,102992,MamataStepDown,Mamata Step Down,mamatastepdown,mamata step down,3
133370,133712,133712,CongressCheatKejriwal,Congress Cheat Kejriwal,congresscheatkejriwal,congress cheat kejriwal,3
201603,202089,202089,TheView,The View,theview,the view,2
189781,190237,190237,GoldCup,Gold Cup,goldcup,gold cup,2
262654,263278,263278,PresidentMuhammaduBuhari,President Muhammadu Buhari,presidentmuhammadubuhari,president muhammadu buhari,3
252407,253015,253015,NursingFacts,Nursing Facts,nursingfacts,nursing facts,2
184636,185079,185079,WeWillWin,We Will Win,wewillwin,we will win,3
179500,179929,179929,BharathModiKeSath,Bharath Modi Ke Sath,bharathmodikesath,bharath modi ke sath,4
326199,326966,326966,#VerifiedLaycon,Verified Laycon,#verifiedlaycon,verified laycon,2
165323,165730,165730,ShameOnPriyankaVadra,Shame On Priyanka Vadra,shameonpriyankavadra,shame on priyanka vadra,4
261165,261788,261788,BJPKaryakarta,BJP Karyakarta,bjpkaryakarta,bjp karyakarta,2
328762,329529,329529,#HappyBirthdayTacha,Happy Birthday Tacha,#happybirthdaytacha,happy birthday tacha,3
295698,296399,296399,APBudgetSession2019,AP Budget Session 2019,apbudgetsession2019,ap budget session 2019,4
225157,225702,225702,PhirElkBaarModiSarkaar,Phir Elk Baar Modi Sarkaar,phirelkbaarmodisarkaar,phir elk baar modi sarkaar,5
232351,232907,232907,UnionPublicServiceCommission,Union Public Service Commission,unionpublicservicecommission,union public service commission,4
151696,152072,152072,highesthonourofSAtoModi,highesthonourof S Ato Modi,highesthonourofsatomodi,highesthonourof s ato modi,4
302978,303698,303698,YCPwin,YC Pwin,ycpwin,yc pwin,2
117431,117729,117729,SharadPawar,Sharad Pawar,sharadpawar,sharad pawar,2
214669,215189,215189,YouCannotConfuse,You Cannot Confuse,youcannotconfuse,you cannot confuse,3
305505,306231,306231,HalkaaVadra,Halkaa Vadra,halkaavadra,halkaa vadra,2
15758,15805,15805,NamoOnceMore,Namo Once More,namooncemore,namo once more,3
307337,308069,308069,IndianKneeled,Indian Kneeled,indiankneeled,indian kneeled,2
264854,265480,265480,SupportINC,Support INC,supportinc,support inc,2
105126,105405,105405,AmethiSurgicalStrike,Amethi Surgical Strike,amethisurgicalstrike,amethi surgical strike,3
307780,308512,308512,CitizensAmendmentBill,Citizens Amendment Bill,citizensamendmentbill,citizens amendment bill,3
46179,46311,46311,Vote4DhehlanBaqavi,Vote 4 Dhehlan Baqavi,vote4dhehlanbaqavi,vote 4 dhehlan baqavi,4
36211,36311,36311,NarendraModiattacksDigvijaySingh,Narendra Modiattacks Digvijay Singh,narendramodiattacksdigvijaysingh,narendra modiattacks digvijay singh,4
315118,315867,315867,findBetterfaste,find Betterfaste,findbetterfaste,find betterfaste,2
88548,88793,88793,VilleParle,Ville Parle,villeparle,ville parle,2
158581,158971,158971,WallArt,Wall Art,wallart,wall art,2
71568,71766,71766,MedicineShouldBeAffordable,Medicine Should Be Affordable,medicineshouldbeaffordable,medicine should be affordable,4
178472,178898,178898,BJP4himachal,BJP 4 himachal,bjp4himachal,bjp 4 himachal,3
169910,170324,170324,BringBackAcheDin,Bring Back Ache Din,bringbackachedin,bring back ache din,4
286279,286959,286959,CongsMuktaBharat,Congs Mukta Bharat,congsmuktabharat,congs mukta bharat,3
88125,88370,88370,WeeklyVictories,Weekly Victories,weeklyvictories,weekly victories,2
239307,239881,239881,PlateUpForThePlanet,Plate Up For The Planet,plateupfortheplanet,plate up for the planet,5
328861,329628,329628,#HappyBirthdaySoniaGandhi,Happy Birthday Sonia Gandhi,#happybirthdaysoniagandhi,happy birthday sonia gandhi,4
209330,209834,209834,NirmalBharat,Nirmal Bharat,nirmalbharat,nirmal bharat,2
199833,200315,200315,PBBStop8,PBB Stop 8,pbbstop8,pbb stop 8,3
326054,326821,326821,#MakeTheBatfleckMovie,Make The Batfleck Movie,#makethebatfleckmovie,make the batfleck movie,4
230474,231028,231028,pmnarendraModi,pmnarendra Modi,pmnarendramodi,pmnarendra modi,2
149599,149968,149968,OngSeongwoo,Ong Seongwoo,ongseongwoo,ong seongwoo,2
24562,24639,24639,modiTakeoath,modi Takeoath,moditakeoath,modi takeoath,2
27451,27535,27535,ForcedConversion,Forced Conversion,forcedconversion,forced conversion,2
26358,26439,26439,100SmartCity,100 Smart City,100smartcity,100 smart city,3
285869,286549,286549,FunnyOn4Infiltrate,Funny On 4 Infiltrate,funnyon4infiltrate,funny on 4 infiltrate,4
245289,245878,245878,DarkSpaces,Dark Spaces,darkspaces,dark spaces,2
80180,80399,80399,PinKCiTy,Pin K Ci Ty,pinkcity,pin k ci ty,4
122984,123298,123298,RahulKeJhutheVaade,Rahul Ke Jhuthe Vaade,rahulkejhuthevaade,rahul ke jhuthe vaade,4
170772,171188,171188,CongressPartyDrama,Congress Party Drama,congresspartydrama,congress party drama,3
169083,169497,169497,ABCAllStars,ABC All Stars,abcallstars,abc all stars,3
236822,237389,237389,VoteUKIP,Vote UKIP,voteukip,vote ukip,2
130925,131258,131258,MumbaiIndiansKaFan,Mumbai Indians Ka Fan,mumbaiindianskafan,mumbai indians ka fan,4
277011,277667,277667,modiRoadshow,modi Roadshow,modiroadshow,modi roadshow,2
90254,90502,90502,ObscenePic,Obscene Pic,obscenepic,obscene pic,2
326156,326923,326923,#DiaDelMedico,Dia Del Medico,#diadelmedico,dia del medico,3
329402,330169,330169,#YuhSanaEKREM,Yuh Sana EKREM,#yuhsanaekrem,yuh sana ekrem,3
258642,259260,259260,KarawalNagar,Karawal Nagar,karawalnagar,karawal nagar,2
179998,180430,180430,CodeBlends,Code Blends,codeblends,code blends,2
225811,226360,226360,HempFacts,Hemp Facts,hempfacts,hemp facts,2
218096,218623,218623,FateofTamilNadu,Fateof Tamil Nadu,fateoftamilnadu,fateof tamil nadu,3
37578,37682,37682,NoMoreKnives,No More Knives,nomoreknives,no more knives,3
255594,256207,256207,Sava100Crore,Sava 100 Crore,sava100crore,sava 100 crore,3
259189,259807,259807,DisturbingContentWarning,Disturbing Content Warning,disturbingcontentwarning,disturbing content warning,3
137933,138285,138285,RajasthanOnNewsIndia,Rajasthan On News India,rajasthanonnewsindia,rajasthan on news india,4
43551,43671,43671,InternationalChor,International Chor,internationalchor,international chor,2
241647,242226,242226,NaJhukneWalaNawazSharif,Na Jhukne Wala Nawaz Sharif,najhuknewalanawazsharif,na jhukne wala nawaz sharif,5
298765,299474,299474,GESIndia2019,GES India 2019,gesindia2019,ges india 2019,3
70919,71116,71116,LokSabhaElections2019Modi,Lok Sabha Elections 2019 Modi,loksabhaelections2019modi,lok sabha elections 2019 modi,5
82023,82246,82246,dudhkumarMondal,dudhkumar Mondal,dudhkumarmondal,dudhkumar mondal,2
99604,99870,99870,WowWeek,Wow Week,wowweek,wow week,2
23786,23862,23862,RandomExperimentswithIndiaLabs,Random Experimentswith India Labs,randomexperimentswithindialabs,random experimentswith india labs,4
316852,317604,317604,BilkulSahiBoley,Bilkul Sahi Boley,bilkulsahiboley,bilkul sahi boley,3
12047,12083,12083,ColorsMarathi,Colors Marathi,colorsmarathi,colors marathi,2
301009,301723,301723,SoleLickers2Gandhis,Sole Lickers 2 Gandhis,solelickers2gandhis,sole lickers 2 gandhis,4
40611,40725,40725,SavdhaanChoro,Savdhaan Choro,savdhaanchoro,savdhaan choro,2
329540,330307,330307,#SkyWishForMew,Sky Wish For Mew,#skywishformew,sky wish for mew,4
319800,320558,320558,CaliforniaPrimary,California Primary,californiaprimary,california primary,2
120805,121115,121115,craftsofIndia,craftsof India,craftsofindia,craftsof india,2
126105,126428,126428,ChowkidarJailMein,Chowkidar Jail Mein,chowkidarjailmein,chowkidar jail mein,3
9597,9627,9627,KCRwinstelangana,KC Rwinstelangana,kcrwinstelangana,kc rwinstelangana,2
275187,275839,275839,SaffronSwords,Saffron Swords,saffronswords,saffron swords,2
324824,325590,325590,GroKo,Gro Ko,groko,gro ko,2
128559,128887,128887,TwitterChoupal,Twitter Choupal,twitterchoupal,twitter choupal,2
210620,211129,211129,HashtagSaree,Hashtag Saree,hashtagsaree,hashtag saree,2
40754,40868,40868,VIBELANDSports,VIBELAND Sports,vibelandsports,vibeland sports,2
144085,144444,144444,BoeinginIndia,Boeingin India,boeinginindia,boeingin india,2
321960,322720,322720,ComicForSocialChange,Comic For Social Change,comicforsocialchange,comic for social change,4
290192,290879,290879,politicalVictory,political Victory,politicalvictory,political victory,2
331348,332115,332115,#CGWithABVP,CG With ABVP,#cgwithabvp,cg with abvp,3
127113,127438,127438,ChowkidarPappuHai,Chowkidar Pappu Hai,chowkidarpappuhai,chowkidar pappu hai,3
109882,110165,110165,DecodePremis,Decode Premis,decodepremis,decode premis,2
3961,3973,3973,SomnathChatterjee,Somnath Chatterjee,somnathchatterjee,somnath chatterjee,2
3265,3277,3277,KSurendran,K Surendran,ksurendran,k surendran,2
156039,156426,156426,EuropeCalling,Europe Calling,europecalling,europe calling,2
276038,276693,276693,SadTruth,Sad Truth,sadtruth,sad truth,2
146214,146576,146576,CongreeMuktBHARAT,Congree Mukt BHARAT,congreemuktbharat,congree mukt bharat,3
47769,47905,47905,LinkPancardwithAadhaarcardlastdateextends,Link Pancardwith Aadhaarcardlastdateextends,linkpancardwithaadhaarcardlastdateextends,link pancardwith aadhaarcardlastdateextends,3
98326,98590,98590,TamilnaduVotesModi,Tamilnadu Votes Modi,tamilnaduvotesmodi,tamilnadu votes modi,3
280911,281578,281578,DirtyBirdNation,Dirty Bird Nation,dirtybirdnation,dirty bird nation,3
329323,330090,330090,#Croatia,Croatia,#croatia,croatia,1
108622,108904,108904,SidhuKaSwag,Sidhu Ka Swag,sidhukaswag,sidhu ka swag,3
134987,135334,135334,BesharamKejriwal,Besharam Kejriwal,besharamkejriwal,besharam kejriwal,2
212031,212543,212543,VKSaraswath,VK Saraswath,vksaraswath,vk saraswath,2
315121,315870,315870,PROgressVsCONgress,PR Ogress Vs CO Ngress,progressvscongress,pr ogress vs co ngress,5
131355,131688,131688,manishKhanduri,manish Khanduri,manishkhanduri,manish khanduri,2
41985,42102,42102,JanAwaazGhoshna,Jan Awaaz Ghoshna,janawaazghoshna,jan awaaz ghoshna,3
33361,33457,33457,3DayFast,3 Day Fast,3dayfast,3 day fast,3
30624,30714,30714,SingerHansRajHans,Singer Hans Raj Hans,singerhansrajhans,singer hans raj hans,4
300615,301329,301329,electionwithEtvbharat,electionwith Etvbharat,electionwithetvbharat,electionwith etvbharat,2
130259,130591,130591,SupportSudipDa,Support Sudip Da,supportsudipda,support sudip da,3
74702,74909,74909,FactualReport,Factual Report,factualreport,factual report,2
290405,291093,291093,DiscossiononRahulPappuness,Discossionon Rahul Pappuness,discossiononrahulpappuness,discossionon rahul pappuness,3
50015,50156,50156,VoteDO,Vote DO,votedo,vote do,2
122468,122781,122781,ElectionWithNdtv,Election With Ndtv,electionwithndtv,election with ndtv,3
136368,136717,136717,APVotesForFAN,AP Votes For FAN,apvotesforfan,ap votes for fan,4
326838,327605,327605,#FalasDeOrgulho,Falas De Orgulho,#falasdeorgulho,falas de orgulho,3
11014,11047,11047,SlaveryNow,Slavery Now,slaverynow,slavery now,2
35526,35623,35623,MaleGanvBlastCase,Male Ganv Blast Case,maleganvblastcase,male ganv blast case,4
140855,141210,141210,FiduciaryRule,Fiduciary Rule,fiduciaryrule,fiduciary rule,2
232211,232767,232767,BabyChowkis,Baby Chowkis,babychowkis,baby chowkis,2
139216,139570,139570,MaruGujarat,Maru Gujarat,marugujarat,maru gujarat,2
