,Hashtag,1,2,3,4,5,6,7,8,9,10,Source,id,topk,mutlitoken,charner,answer,annotator,annotation_id,created_at,updated_at,lead_time,Final Segmentation
1210,bbcqt,bbcqt,bbc qt,bbcq t,bb cqt,b bcqt,bbc q t,b b cqt,b bc qt,b b c qt,bb c qt,roman,229178,$2,Hashtag has named entities,"[{""start"": 0, ""end"": 3, ""text"": ""bbc"", ""labels"": [""Named Entity""]}]",bbcqt,3,479,2021-09-27T14:13:19.740174Z,2021-09-27T14:13:19.740220Z,252.348,bbc qt
1211,woment20challenge,woment20challenge,woment20challeng e,women t20 challenge,woment20 challenge,women t20challenge,w oment20challenge,wo ment20challenge,woment20challen ge,woment20chal lenge,woment20chall enge,roman,229177,$3,None,None,woment20challenge,3,468,2021-09-27T14:09:05.605280Z,2021-09-27T14:09:05.605331Z,7.593,women t20 challenge
1212,trueindologyisback,trueindologyisback,trueindologyis back,trueindologyisbac k,t rueindologyisback,true indologyisback,trueindologyisb ack,trueindology is back,trueindologyisba ck,tr ueindologyisback,tru eindologyisback,roman,229176,None,None,None,true indology is back,3,467,2021-09-27T14:08:56.194919Z,2021-09-27T14:08:56.194955Z,80.082,true indology is back
1213,bfckbfc,bfckbfc,bfckbf c,bfckb fc,b fckbfc,bfc kbfc,bf ckbfc,bfckb f c,bfck bfc,b f ckbfc,b f ck bfc,roman,229175,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 7, ""text"": ""bfckbfc"", ""labels"": [""Named Entity""]}]",bfckbfc,3,466,2021-09-27T14:07:34.446890Z,2021-09-27T14:07:34.446936Z,32.518,bfckbfc
1214,nehakakkar,neha kakkar,nehakakkar,nehakak kar,nehakakka r,ne hakakkar,n ehakakkar,nehakakk ar,neh akakkar,ne ha kakkar,neh a kakkar,roman,229172,$1,Hashtag has named entities,"[{""start"": 4, ""end"": 10, ""text"": ""kakkar"", ""labels"": [""Named Entity""]}, {""start"": 0, ""end"": 4, ""text"": ""neha"", ""labels"": [""Named Entity""]}]",nehakakkar,4,2167,2021-12-31T15:29:19.466149Z,2021-12-31T15:29:19.466196Z,17.203,neha kakkar
1215,indiavsterrorbackers,indiavsterrorbackers,in diavsterrorbackers,indiavsterrorbacker s,i ndiavsterrorbackers,indiavsterrorbacke rs,india vsterrorbackers,indiavsterror backers,ind iavsterrorbackers,indi avsterrorbackers,indiavsterrorback ers,roman,229171,None,Hashtag has named entities,"[{""start"": 0, ""end"": 5, ""text"": ""india"", ""labels"": [""Named Entity""]}]",india vs terror backers,4,2168,2021-12-31T15:30:19.705512Z,2021-12-31T15:30:19.705558Z,53.981,india vs terror backers
1216,saintsfc,saints fc,saintsfc,saint sfc,saints f c,saintsf c,s aintsfc,saint s fc,sa intsfc,sain tsfc,saint s f c,roman,229170,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 6, ""text"": ""saints"", ""labels"": [""Named Entity""]}]",saintsfc,4,2166,2021-12-31T15:28:34.353637Z,2021-12-31T15:28:34.353683Z,10.297,saints fc
1217,onceselcaday,onceselcaday,on ceselcaday,onceselcada y,onceselca day,once selcaday,o nceselcaday,onceselcad ay,onceselc a day,onc eselcaday,onceselc aday,roman,229169,None,None,None,once selca day,4,2165,2021-12-31T15:28:11.308444Z,2021-12-31T15:28:11.308505Z,37.545,once selca day
1218,maibhifarmer,maibhifarmer,maibhi farmer,maibhifarme r,m aibhifarmer,maibhifarm er,ma ibhifarmer,mai bhi farmer,mai bhifarmer,maibhifar mer,maibhif armer,roman,229168,$7,"{""choices"": [""Hashtag has non english token "", ""Hashtag has a mix of english and hindi tokens""]}",None,maibhifarmer,4,2164,2021-12-31T15:27:19.058348Z,2021-12-31T15:27:19.058391Z,7.534,mai bhi farmer
1219,tuesdaythought,tuesdaythought,tuesday thought,tuesdaythough t,t uesdaythought,tuesdayth ought,tu esdaythought,tuesdaythoug ht,tuesday though t,tue sdaythought,tues day thought,roman,229167,$2,None,None,tuesdaythought,4,2163,2021-12-31T15:27:05.975298Z,2021-12-31T15:27:05.975344Z,3.692,tuesday thought
1220,hyderabadfc,hyderabad fc,hyderabadfc,hyderabad f c,hyderabadf c,h yderabadfc,hyde rabadfc,hyderaba dfc,hyder abadfc,hyd erabadfc,hy derabadfc,roman,229166,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 9, ""text"": ""hyderabad"", ""labels"": [""Named Entity""]}]",hyderabadfc,4,2162,2021-12-31T15:25:48.588068Z,2021-12-31T15:25:48.588113Z,10.008,hyderabad fc
1221,thanksdrambedkar,thanksdrambedkar,thanks dr ambedkar,thanksdrambed kar,than ksdrambedkar,thanksdrambedka r,t hanksdrambedkar,tha nksdrambedkar,thanks drambedkar,thanksdrambedk ar,thank s dr ambedkar,roman,229165,$2,Hashtag has named entities,"[{""start"": 8, ""end"": 16, ""text"": ""ambedkar"", ""labels"": [""Named Entity""]}]",thanksdrambedkar,4,2161,2021-12-31T15:25:36.162195Z,2021-12-31T15:25:36.162243Z,11.871,thanks dr ambedkar
1222,aari,aari,aa ri,aar i,a ari,aa r i,a a r i,a ar i,a a ri,,,roman,229163,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 4, ""text"": ""aari"", ""labels"": [""Named Entity""]}]",aari,4,2159,2021-12-31T15:24:09.967828Z,2021-12-31T15:24:09.967875Z,13.134,aari
1224,vidasnegrasimportam,vidasnegrasimportam,vidasnegrasimporta m,vidasnegrasimport am,v idasnegrasimportam,vi dasnegrasimportam,vidasnegrasimpor tam,vid asnegrasimportam,vida snegrasimportam,vidas negrasimportam,vidasnegrasim portam,roman,229161,None,Hashtag has non english token ,None,vidas negras importam,4,2157,2021-12-31T15:23:43.315078Z,2021-12-31T15:23:43.315124Z,23.394,vidas negras importam
1225,mamatainsultsgurudev,mamatainsultsgurudev,mamatainsultsgurude v,m amatainsultsgurudev,mamatainsultsguru dev,ma matainsultsgurudev,mamatainsultsgurud ev,mam atainsultsgurudev,mama tainsultsgurudev,mamata insultsgurudev,mamatainsults gurudev,roman,229160,None,Hashtag has named entities,"[{""start"": 13, ""end"": 20, ""text"": ""gurudev"", ""labels"": [""Named Entity""]}, {""start"": 0, ""end"": 6, ""text"": ""mamata"", ""labels"": [""Named Entity""]}]",mamata insults gurudev,4,2156,2021-12-31T15:23:16.664497Z,2021-12-31T15:23:16.664542Z,45.365,mamata insults gurudev
1226,ammkremembersmgr,ammkremembersmgr,a mmkremembersmgr,ammkremembersmg r,am mkremembersmgr,ammkremembersm gr,ammkremembers mgr,amm kremembersmgr,ammkremembersm g r,ammk remembersmgr,ammkremember smgr,roman,229157,None,Hashtag has named entities,"[{""start"": 13, ""end"": 16, ""text"": ""mgr"", ""labels"": [""Named Entity""]}, {""start"": 0, ""end"": 4, ""text"": ""ammk"", ""labels"": [""Named Entity""]}]",ammk remembers mgr,4,2154,2021-12-31T15:21:46.269570Z,2021-12-31T15:21:46.269616Z,55.896,ammk remembers mgr
1227,yahaansabfixedhai,yahaansabfixedhai,yahaansabfixedha i,yahaansabfixed hai,yahaansabfixedh ai,y ahaansabfixedhai,yah aansabfixedhai,ya haansabfixedhai,yahaan sabfixedhai,yahaansabfixe dhai,yahaansabfixed ha i,roman,229156,None,"{""choices"": [""Hashtag has non english token "", ""Hashtag has a mix of english and hindi tokens""]}",None,yahaan sab fixed hai,4,2152,2021-12-31T15:17:29.913759Z,2021-12-31T15:17:29.913805Z,21.036,yahaan sab fixed hai
1228,yestosogiebill,yestosogiebill,yestosogie bill,yestosogiebil l,y estosogiebill,yestosogieb ill,ye stosogiebill,yestosogiebi ll,yes tosogiebill,yestosogieb i ll,yest osogiebill,roman,229155,None,Hashtag has named entities,"[{""start"": 5, ""end"": 10, ""text"": ""sogie"", ""labels"": [""Named Entity""]}]",yes to sogie bill,4,2153,2021-12-31T15:20:47.088295Z,2021-12-31T15:20:47.088345Z,194.903,yes to sogie bill
1229,pfizervaccine,pfizer vaccine,pfizervaccine,pfizervaccin e,pfizervacci ne,p fizervaccine,pfizervac cine,pf izervaccine,pfizervacc ine,pfi zervaccine,pfizervacc in e,roman,229154,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 6, ""text"": ""pfizer"", ""labels"": [""Named Entity""]}]",pfizervaccine,4,2151,2021-12-31T15:17:05.287449Z,2021-12-31T15:17:05.287496Z,7.65,pfizer vaccine
1230,espger,espger,esp ger,espg er,espge r,e spger,es pger,esp g e r,espg e r,e spg er,e s p ger,roman,229153,$2,Hashtag has named entities,"[{""start"": 3, ""end"": 6, ""text"": ""ger"", ""labels"": [""Named Entity""]}, {""start"": 0, ""end"": 3, ""text"": ""esp"", ""labels"": [""Named Entity""]}]",espger,4,2150,2021-12-31T15:16:55.885588Z,2021-12-31T15:16:55.885638Z,27.302,esp ger
1231,godmorningfriday,godmorningfriday,godmorningfrida y,godmorningfri day,god morning friday,go dmorningfriday,god morningfriday,g odmorningfriday,godmorning friday,godmorningfrid ay,godmorningf riday,roman,229152,$4,None,None,godmorningfriday,4,2149,2021-12-31T15:16:26.806761Z,2021-12-31T15:16:26.806807Z,3.971,god morning friday
1232,stoptargetingabijeet,stoptargetingabijeet,stoptargetingabije et,stoptargetingabijee t,s toptargetingabijeet,stoptargetingabi jeet,stop targetingabijeet,st optargetingabijeet,sto ptargetingabijeet,stoptargetingabij eet,stop targeting abijeet,roman,229151,$10,Hashtag has named entities,"[{""start"": 13, ""end"": 20, ""text"": ""abijeet"", ""labels"": [""Named Entity""]}]",stoptargetingabijeet,4,2148,2021-12-31T15:16:19.909229Z,2021-12-31T15:16:19.909278Z,9.638,stop targeting abijeet
1233,salmankhan,salman khan,salmankhan,s alman khan,salmankh an,s almankhan,salmankha n,sa lmankhan,salmank han,sal mankhan,salman kha n,roman,229150,$1,Hashtag has named entities,"[{""start"": 6, ""end"": 10, ""text"": ""khan"", ""labels"": [""Named Entity""]}, {""start"": 0, ""end"": 6, ""text"": ""salman"", ""labels"": [""Named Entity""]}]",salmankhan,4,2147,2021-12-31T15:16:08.694062Z,2021-12-31T15:16:08.694109Z,27.769,salman khan
1234,mbforsavinghearts,mbforsavinghearts,mbforsavingheart s,mbforsavinghe arts,m bforsavinghearts,mbforsaving hearts,mbforsavinghear ts,mb forsavinghearts,mbforsavinghea rts,mbf orsavinghearts,mbforsavinghear t s,roman,229149,None,None,None,mb for saving hearts,4,2146,2021-12-31T15:15:38.718276Z,2021-12-31T15:15:38.718325Z,15.911,mb for saving hearts
1235,starship,starship,star ship,stars hip,stars hi p,star s hip,starshi p,s tarship,starsh ip,st arship,s tar ship,roman,229148,$2,None,None,starship,4,2145,2021-12-31T15:15:21.057416Z,2021-12-31T15:15:21.057462Z,3.55,star ship
1236,pradeepkumar,pradeep kumar,pradeepkumar,pradeepkuma r,p radeepkumar,pradeepku mar,pradeepkum ar,pradeepk umar,pradeep kuma r,pr adeepkumar,pra deep kumar,roman,229147,$1,Hashtag has named entities,"[{""start"": 7, ""end"": 12, ""text"": ""kumar"", ""labels"": [""Named Entity""]}, {""start"": 0, ""end"": 7, ""text"": ""pradeep"", ""labels"": [""Named Entity""]}]",pradeepkumar,4,2144,2021-12-31T15:15:15.179578Z,2021-12-31T15:15:15.179624Z,12.245,pradeep kumar
1237,kgf2,kgf2,kgf 2,kg f2,k g f2,k gf2,kg f 2,k gf 2,k g f 2,,,roman,229146,$2,Hashtag has named entities,"[{""start"": 0, ""end"": 3, ""text"": ""kgf"", ""labels"": [""Named Entity""]}]",kgf2,4,2143,2021-12-31T15:15:01.044625Z,2021-12-31T15:15:01.044672Z,24.626,kgf 2
1238,icaiexampostponement,icaiexampostponement,icaiexampostponemen t,i caiexampostponement,icaiexampostponeme nt,ic aiexampostponement,icaiexampostponem ent,icaiexam postponement,icaiexampostpone ment,ica iexampostponement,icai exampostponement,roman,229144,None,None,"[{""start"": 0, ""end"": 4, ""text"": ""icai"", ""labels"": [""Named Entity""]}]",icai exam postponement,4,2141,2021-12-31T15:14:24.839111Z,2021-12-31T15:14:24.839155Z,38.523,icai exam postponement
1239,zacksnyderjusticeleague,zacksnyderjusticeleague,zacksnyderjusticeleagu e,zacksnyderjustice league,z acksnyderjusticeleague,za cksnyderjusticeleague,zacksnyderjusticeleag ue,zack snyderjusticeleague,zac ksnyderjusticeleague,zacksnyderjusticelea gue,zacksnyderjusticele ague,roman,229143,None,Hashtag has named entities,"[{""start"": 0, ""end"": 4, ""text"": ""zack"", ""labels"": [""Named Entity""]}, {""start"": 4, ""end"": 10, ""text"": ""snyder"", ""labels"": [""Named Entity""]}, {""start"": 10, ""end"": 17, ""text"": ""justice"", ""labels"": [""Named Entity""]}, {""start"": 17, ""end"": 23, ""text"": ""league"", ""labels"": [""Named Entity""]}]",zack snyder justice league,4,2140,2021-12-31T15:13:44.318410Z,2021-12-31T15:13:44.318455Z,53.238,zack snyder justice league
1240,sacexposesvijaymafia,sacexposesvijaymafia,sacexposesvijaymafi a,s acexposesvijaymafia,sa cexposesvijaymafia,sacexposesvijaymaf ia,sacexposesvijay mafia,sacexposesvijayma fia,sac exposesvijaymafia,sacexposesvijaym afia,sacexposesvijaymaf i a,roman,229142,None,Hashtag has named entities,"[{""start"": 10, ""end"": 15, ""text"": ""vijay"", ""labels"": [""Named Entity""]}]",sac exposes vijay mafia,4,2139,2021-12-31T15:12:48.814202Z,2021-12-31T15:12:48.814249Z,37.452,sac exposes vijay mafia
1241,iccawards2020,iccawards2020,icc awards 2020,iccawards20 20,i ccawards2020,iccawards202 0,iccawards 2020,icc awards2020,ic cawards2020,iccawards2 020,icc awards 20 20,roman,229141,$2,Hashtag has named entities,"[{""start"": 0, ""end"": 3, ""text"": ""icc"", ""labels"": [""Named Entity""]}]",iccawards2020,4,2138,2021-12-31T15:12:09.624429Z,2021-12-31T15:12:09.624474Z,9.598,icc awards 2020
1242,biharelectionresults2020,biharelectionresults2020,biharelectionresults20 20,biharelectionresults202 0,biharelectionresults 2020,b iharelectionresults2020,bi harelectionresults2020,bihar electionresults2020,bihar election results 2020,bih arelectionresults2020,biharelectionresults2 020,roman,229140,$8,Hashtag has named entities,"[{""start"": 0, ""end"": 5, ""text"": ""bihar"", ""labels"": [""Named Entity""]}]",biharelectionresults2020,4,2137,2021-12-31T15:11:57.671849Z,2021-12-31T15:11:57.671897Z,10.675,bihar election results 2020
1243,indiawitharnabgoswami,indiawitharnabgoswami,in diawitharnabgoswami,indiawitharnabgoswam i,india with arnab goswami,indiawitharnabgoswa mi,i ndiawitharnabgoswami,india witharnabgoswami,indiawitharnabgo swami,indiawitharnabgosw ami,indiawitharnab goswami,roman,229139,$4,Hashtag has named entities,"[{""start"": 14, ""end"": 21, ""text"": ""goswami"", ""labels"": [""Named Entity""]}, {""start"": 9, ""end"": 14, ""text"": ""arnab"", ""labels"": [""Named Entity""]}, {""start"": 0, ""end"": 5, ""text"": ""india"", ""labels"": [""Named Entity""]}]",indiawitharnabgoswami,4,2136,2021-12-31T15:11:44.076427Z,2021-12-31T15:11:44.076475Z,21.973,india with arnab goswami
1244,happybirthdayanilkapoor,happybirthdayanilkapoor,happy birthday anil kapoor,happy birth day anil kapoor,happybirthdayanilkapo or,happybirth day anil kapoor,happybirthdayanilkapoo r,happybirthdayanilka poor,happybirthday anil kapoor,ha ppybirthdayanilkapoor,h appybirthdayanilkapoor,roman,229138,$2,Hashtag has named entities,"[{""start"": 13, ""end"": 17, ""text"": ""anil"", ""labels"": [""Named Entity""]}, {""start"": 17, ""end"": 23, ""text"": ""kapoor"", ""labels"": [""Named Entity""]}]",happybirthdayanilkapoor,4,2135,2021-12-31T15:11:19.936497Z,2021-12-31T15:11:19.936545Z,14.704,happy birthday anil kapoor
1245,mridulasinha,mridula sinha,mridulasinha,mridulasinh a,mridulasin ha,m ridulasinha,mr idulasinha,mridulasi nha,mri dulasinha,mridula sin ha,mridul asinha,roman,229137,$1,Hashtag has named entities,"[{""start"": 7, ""end"": 12, ""text"": ""sinha"", ""labels"": [""Named Entity""]}, {""start"": 0, ""end"": 7, ""text"": ""mridula"", ""labels"": [""Named Entity""]}]",mridulasinha,4,2134,2021-12-31T15:11:02.836173Z,2021-12-31T15:11:02.836222Z,17.777,mridula sinha
1246,runwithchhattisgarh,runwithchhattisgarh,run with chhattisgarh,runwithchhattisgar h,r unwithchhattisgarh,run withchhattisgarh,runwith chhattisgarh,runwithchhattis garh,ru nwithchhattisgarh,runwithchhattisga rh,run with chhattis garh,roman,229136,$2,Hashtag has named entities,"[{""start"": 7, ""end"": 19, ""text"": ""chhattisgarh"", ""labels"": [""Named Entity""]}]",runwithchhattisgarh,4,2133,2021-12-31T15:09:22.618758Z,2021-12-31T15:09:22.618805Z,9.462,run with chhattisgarh
1247,mondaynightbecks,mondaynightbecks,mondaynightbeck s,m ondaynightbecks,mo ndaynightbecks,mon daynightbecks,monday nightbecks,mondaynightbec ks,monday night becks,mondaynight becks,mond aynightbecks,roman,229135,$8,None,None,mondaynightbecks,4,2132,2021-12-31T15:09:11.472221Z,2021-12-31T15:09:11.472267Z,4.143,monday night becks
1248,daviddhawan,david dhawan,daviddhawan,daviddhaw an,daviddhawa n,da viddhawan,d aviddhawan,daviddha wan,daviddh awan,dav iddhawan,davi ddhawan,roman,229134,$1,None,"[{""start"": 5, ""end"": 11, ""text"": ""dhawan"", ""labels"": [""Named Entity""]}, {""start"": 0, ""end"": 5, ""text"": ""david"", ""labels"": [""Named Entity""]}]",daviddhawan,4,2131,2021-12-31T15:09:04.513906Z,2021-12-31T15:09:04.513954Z,8.88,david dhawan
1249,indiaroars4railapprentice,indiaroars4railapprentice,in diaroars4railapprentice,indiaroars4railapprentic e,indiaroars4railapprent ice,i ndiaroars4railapprentice,indiaroars4railapprenti ce,india roars4railapprentice,indiaroars4rail apprentice,ind iaroars4railapprentice,indiaroars4railap prentice,roman,229133,None,Hashtag has named entities,"[{""start"": 0, ""end"": 5, ""text"": ""india"", ""labels"": [""Named Entity""]}]",india roars 4 rail apprentice,4,2130,2021-12-31T15:08:51.692887Z,2021-12-31T15:08:51.692936Z,28.831,india roars 4 rail apprentice
1250,ddcelections,ddc elections,ddcelections,ddcelection s,d dcelections,ddcelect ions,dd celections,ddcelectio ns,ddc election s,d d c elections,ddcelecti ons,roman,229132,$1,None,None,ddcelections,4,2129,2021-12-31T15:08:20.333078Z,2021-12-31T15:08:20.333125Z,5.375,ddc elections
1251,fastest4gishere,fastest4gishere,fastest4gisher e,fastest4gis here,fastest4gishe re,f astest4gishere,fast est4gishere,fa stest4gishere,fastest 4gishere,fastest4g is here,fastest4gish ere,roman,229131,None,None,None,fastest 4g is here,4,2128,2021-12-31T15:08:11.376691Z,2021-12-31T15:08:11.376741Z,30.939,fastest 4g is here
1252,wewantbhoomiontheatres,wewantbhoomiontheatres,wewantbhoomiontheatre s,wewantbhoomiontheatr es,we wantbhoomiontheatres,w ewantbhoomiontheatres,wewantbhoomiontheat res,wewantbhoomion theatres,wewantbhoomionthea tres,wewantbhoomiontheatr e s,wewa ntbhoomiontheatres,roman,229130,None,Hashtag has named entities,"[{""start"": 6, ""end"": 12, ""text"": ""bhoomi"", ""labels"": [""Named Entity""]}]",we want bhoomi on theatres,4,2127,2021-12-31T15:07:37.917557Z,2021-12-31T15:07:37.917603Z,71.79,we want bhoomi on theatres
1253,chaudharycharansingh,chaudhary charan singh,chaudharycharansingh,chaudharycharan singh,chaudharycharansing h,c haudharycharansingh,ch audharycharansingh,chaudhary charansingh,cha udharycharansingh,chaudharycharansin gh,chau dharycharansingh,roman,229129,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 9, ""text"": ""chaudhary"", ""labels"": [""Named Entity""]}, {""start"": 9, ""end"": 15, ""text"": ""charan"", ""labels"": [""Named Entity""]}, {""start"": 15, ""end"": 20, ""text"": ""singh"", ""labels"": [""Named Entity""]}]",chaudharycharansingh,4,2126,2021-12-31T15:06:08.758497Z,2021-12-31T15:06:08.758548Z,20.139,chaudhary charan singh
1254,adityaseal,aditya seal,adityaseal,aditya se al,a dityaseal,adityase al,adityasea l,ad ityaseal,adityas eal,adi tyaseal,adity a seal,roman,229128,$1,Hashtag has named entities,"[{""start"": 6, ""end"": 10, ""text"": ""seal"", ""labels"": [""Named Entity""]}, {""start"": 0, ""end"": 6, ""text"": ""aditya"", ""labels"": [""Named Entity""]}]",adityaseal,4,2125,2021-12-31T15:05:45.448659Z,2021-12-31T15:05:45.448706Z,18.589,aditya seal
1255,lavozsemifinal,lavozsemifinal,lavozsemifin al,lavozsemi final,lavozsemifina l,la vozsemifinal,l avozsemifinal,lavoz semifinal,la voz semifinal,lavozsemifi nal,lavoz semi final,roman,229127,$7,None,None,lavozsemifinal,4,2124,2021-12-31T15:05:24.506882Z,2021-12-31T15:05:24.506932Z,3.101,lavoz semifinal
1256,balaji,balaji,bala ji,balaj i,bal aji,ba laji,ba la ji,b alaji,bala j i,bal a ji,ba l aji,roman,229126,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 6, ""text"": ""balaji"", ""labels"": [""Named Entity""]}]",balaji,4,2123,2021-12-31T15:05:18.779313Z,2021-12-31T15:05:18.779365Z,10.296,balaji
1257,happybirthdaycheran,happybirthdaycheran,happybirthdaycher an,happybirthdayche ran,happybirthdaychera n,ha ppybirthdaycheran,happybirthday cheran,h appybirthdaycheran,happy birthdaycheran,happy birthday cheran,happy birth day cheran,roman,229125,$9,Hashtag has named entities,"[{""start"": 13, ""end"": 19, ""text"": ""cheran"", ""labels"": [""Named Entity""]}]",happybirthdaycheran,4,2122,2021-12-31T15:05:05.741443Z,2021-12-31T15:05:05.741490Z,8.648,happy birthday cheran
1258,respectgiselle,respectgiselle,respect giselle,respectgisell e,respectgisel le,r espectgiselle,re spectgiselle,res pectgiselle,respectgis elle,resp ectgiselle,respectgi selle,roman,229124,$2,Hashtag has named entities,"[{""start"": 7, ""end"": 14, ""text"": ""giselle"", ""labels"": [""Named Entity""]}]",respectgiselle,4,2121,2021-12-31T15:04:54.792956Z,2021-12-31T15:04:54.793002Z,8.325,respect giselle
1259,wolche,wolche,wolc he,wolch e,wol che,wo lc he,wol c he,wo lche,w olche,wo l c he,w o lc he,roman,229123,$4,Hashtag has named entities,"[{""start"": 3, ""end"": 6, ""text"": ""che"", ""labels"": [""Named Entity""]}, {""start"": 0, ""end"": 3, ""text"": ""wol"", ""labels"": [""Named Entity""]}]",wolche,4,2120,2021-12-31T15:04:44.369587Z,2021-12-31T15:04:44.369634Z,30.743,wol che
1260,gaanauserschoiceicons,gaanauserschoiceicons,gaanauserschoiceicon s,g aanauserschoiceicons,ga anauserschoiceicons,gaanauserschoice icons,gaanauserschoiceico ns,gaanauserschoicei cons,gaa nauserschoiceicons,gaanauserschoiceic ons,gaan auserschoiceicons,roman,229122,None,Hashtag has named entities,"[{""start"": 0, ""end"": 5, ""text"": ""gaana"", ""labels"": [""Named Entity""]}]",gaana users choice icons,4,2118,2021-12-31T15:03:49.397712Z,2021-12-31T15:03:49.397760Z,31.6,gaana users choice icons
1261,aqours,aqours,aq ours,a qours,aqour s,aqou rs,aqo urs,aq our s,a q ours,aqou r s,aqo ur s,roman,229121,$1,None,"[{""start"": 0, ""end"": 6, ""text"": ""aqours"", ""labels"": [""Named Entity""]}]",aqours,4,2119,2021-12-31T15:04:11.719890Z,2021-12-31T15:04:11.719936Z,19.673,aqours
1262,khiladi,khiladi,khilad i,khila di,khil adi,khi ladi,k hi ladi,k hiladi,khil ad i,khila d i,khil a di,roman,229120,$1,Hashtag has non english token ,None,khiladi,4,2117,2021-12-31T15:03:15.586057Z,2021-12-31T15:03:15.586103Z,5.383,khiladi
1263,thankyouwattoman,thankyouwattoman,thankyouwattom an,thankyouwatto man,than kyouwattoman,thankyouwattoma n,t hankyouwattoman,tha nkyouwattoman,thank youwattoman,thankyouwatt oman,th ankyouwattoman,roman,229119,None,Hashtag has named entities,"[{""start"": 8, ""end"": 16, ""text"": ""wattoman"", ""labels"": [""Named Entity""]}]",thank you wattoman,4,2116,2021-12-31T15:03:07.755714Z,2021-12-31T15:03:07.755765Z,27.224,thank you wattoman
1264,allinforchennaiyin,allinforchennaiyin,allinforchennaiy in,a llinforchennaiyin,all inforchennaiyin,allinforchennaiyi n,al linforchennaiyin,allinforchennai yin,alli nforchennaiyin,allin for chennaiyin,a llinforchennaiy in,roman,229118,None,None,None,all in for chennaiyin,4,2115,2021-12-31T15:02:34.395393Z,2021-12-31T15:02:34.395440Z,15.23,all in for chennaiyin
1265,motilalvora,motilal vora,motilalvora,motilalvor a,m otilalvora,motilalv or a,mo tilalvora,motilalvo ra,moti lal vora,moti lalvora,motilalv ora,roman,229117,$1,Hashtag has named entities,"[{""start"": 7, ""end"": 11, ""text"": ""vora"", ""labels"": [""Named Entity""]}, {""start"": 0, ""end"": 7, ""text"": ""motilal"", ""labels"": [""Named Entity""]}]",motilalvora,4,2114,2021-12-31T15:02:12.546737Z,2021-12-31T15:02:12.546784Z,30.106,motilal vora
1266,dattapeetha4hindus,dattapeetha4hindus,dattapeetha4hind us,dattapeetha4hindu s,da ttapeetha4hindus,d attapeetha4hindus,dattapeetha4 hindus,dat tapeetha4hindus,datta peetha4hindus,dattapeetha4h indus,dattapeetha4hin dus,roman,229116,None,Hashtag has named entities,"[{""start"": 0, ""end"": 5, ""text"": ""datta"", ""labels"": [""Named Entity""]}, {""start"": 5, ""end"": 11, ""text"": ""peetha"", ""labels"": [""Named Entity""]}]",datta peetha 4 hindus,4,2113,2021-12-31T15:01:39.335366Z,2021-12-31T15:01:39.335412Z,49.775,datta peetha 4 hindus
1268,crossgendervijayfans,crossgendervijayfans,crossgendervijayfan s,crossgendervijay fans,c rossgendervijayfans,cross gendervijayfans,crossgendervijayf ans,crossgendervijayfa ns,cr ossgendervijayfans,cro ssgendervijayfans,cros sgendervijayfans,roman,229112,None,Hashtag has named entities,"[{""start"": 11, ""end"": 16, ""text"": ""vijay"", ""labels"": [""Named Entity""]}]",cross gender vijay fans,4,2109,2021-12-31T14:59:04.988997Z,2021-12-31T14:59:04.989044Z,22.854,cross gender vijay fans
1269,kollywoodrulersuriya,kollywoodrulersuriya,kollywoodrulersuriy a,ko llywoodrulersuriya,k ollywoodrulersuriya,kollywoodrulersuri ya,kollywoodrulersu riya,kol lywoodrulersuriya,kollywoodruler suriya,kollywoodrulersur iya,kollywoodrulersuri y a,roman,229111,None,Hashtag has named entities,"[{""start"": 14, ""end"": 20, ""text"": ""suriya"", ""labels"": [""Named Entity""]}]",kollywood ruler suriya,4,2108,2021-12-31T14:58:39.251462Z,2021-12-31T14:58:39.251509Z,27.471,kollywood ruler suriya
1270,eeswaranteaserfordiwali,eeswaranteaserfordiwali,eeswaranteaserfordiwal i,e eswaranteaserfordiwali,eeswaranteaserfordiw ali,eeswaranteaserfordiwa li,eeswaranteaserfor diwali,eeswaranteaserfordi wali,ee swaranteaserfordiwali,ees waranteaserfordiwali,eeswaranteaserfordiwa l i,roman,229110,None,Hashtag has named entities,"[{""start"": 0, ""end"": 8, ""text"": ""eeswaran"", ""labels"": [""Named Entity""]}]",eeswaran teaser for diwali,4,2107,2021-12-31T14:58:09.780410Z,2021-12-31T14:58:09.780457Z,89.488,eeswaran teaser for diwali
1271,dhanushfanssupportfarmers,dhanushfanssupportfarmers,dhanushfanssupportfarmer s,d hanushfanssupportfarmers,dhanushfanssupport farmers,dhanushfanssupportfarme rs,dhan ushfanssupportfarmers,dh anushfanssupportfarmers,dhanush fanssupportfarmers,dha nushfanssupportfarmers,dhanushfanssupportfar mers,roman,229109,None,Hashtag has named entities,"[{""start"": 0, ""end"": 7, ""text"": ""dhanush"", ""labels"": [""Named Entity""]}]",dhanush fans support farmers,4,2106,2021-12-31T14:56:37.915169Z,2021-12-31T14:56:37.915211Z,22.373,dhanush fans support farmers
